WarNum,WarName,StateName,StartYear1,EndYear1,BatDeath
147,First Kashmir,India + Pakistan,1947,1949,3500
148,Arab-Israeli,Middle East,1948,1948,8000
151,Korean,Various,1950,1953,910084
153,Off-shore Islands,China + China,1954,1955,2370
155,Sinai War,Various,1956,1956,3221
156,Soviet Invasion of Hungary,Hungary,1956,1956,2426
158,IfniWar,Spain + Morocco,1958,1958,1122
159,Taiwan Straits,China + Taiwan,1958,1958,1800
160,Assam,India + China,1962,1962,1853
163,"Vietnam War, Phase 2",Vietnam + US,1965,1973,1021442
166,Second Kashmir,India + Pakistan,1965,1965,7061
169,Six Day War,Moddile East,1967,1967,19600
170,"Second Laotian, Phase 2",US + SE Asia,1968,1973,13875
172,War of Attrition,Egypt + Israel,1969,1970,5368
175,Football War,Honduras + El Salvador,1969,1969,1900